EpisodeId,EpisodeStartDate,EpisodeEndDate,EpisodeStatus,EpisodeSignalCount,EpisodeDuplicateSignals,EpisodeLastSignalDate,EpisodeObservedLegs,EpisodeObservedOrderTypes,EpisodeIsActive,SnapshotAsOfET,DataBarDate,SnapshotSchemaVersion,ScanSession,ScanAfterOpen,SnapshotTimingSource,Ticker,SignalEngineVersion,TradePlanVersion,PlanMeasurementVersion,ConfigHash,UniverseVersion,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,OrderType,PlanSelectedLeg,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason,PriorityPreTheme,PriorityPostTheme,ThemeScore,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,PreGapPct,PreGapStatus,MarketBias,VixLevel,SpyGapPct,QqqGapPct,BreadthPct,SmallCapWeak,V13MeasurementVersion,V13MeasurementStatus,V13Filled,V13FillDate,V13FillPrice,V13ExitDate,V13ExitPrice,V13ExitReason,V13Ambiguous,V13RLower,V13RUpper,V13MarkR,V13MFER,V13MAER,D20TotalReturnPct,D40TotalReturnPct,D60TotalReturnPct,V13DividendsPerInitialShare,V13EndingSplitFactor,V13BarsObserved,V13EntryWindowComplete,V13EntryWindowEndDate,V13LifecycleEndDate,V13MeasurementReason
ep-fd2814e0925888c8,2026-07-28,,open,3,2,2026-08-04,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,IDXX,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,553.87,,buy_limit_zone,healthy_pullback,ma20,553.87,562.64,553.87,562.64,527.55,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,6.0,0.0,0.0,0.0,0.64,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-29,562.64,,,,0,,,0.6848,1.7529,-0.3793,,,,0.0,1.0,9,1,2026-07-30,,
ep-0c1d1e54f3c4ba4c,2026-07-28,2026-08-03,unfilled,2,1,2026-07-29,consolidation_dip,buy_stop_reclaim,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,INSM,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,108.44,,buy_stop_reclaim,consolidation_dip,ma60,108.44,108.44,108.44,110.45,102.4,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,price_below_ma60_wait_for_reclaim,13.0,16.0,3.0,0.0,0.0,-0.22,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,9,1,2026-08-03,2026-08-03,entry_not_reached
ep-d3513dd0b537c0bb,2026-07-28,2026-07-31,completed,1,0,2026-07-28,consolidation_dip,buy_stop_reclaim,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,LIN,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,512.09,,buy_stop_reclaim,consolidation_dip,ma60,512.09,512.09,512.09,517.54,495.75,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,price_below_ma60_wait_for_reclaim,10.0,10.0,0.0,0.0,0.0,1.0,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,completed,1,2026-07-28,512.09,2026-07-31,474.98,gap_through_stop,0,-2.2711,-2.2711,,0.6065,-2.7668,,,,0.0,1.0,9,1,2026-08-03,2026-07-31,
ep-e5f7543c79934916,2026-07-28,2026-07-30,unfilled,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,MDLZ,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,59.79,,buy_limit_zone,healthy_pullback,ma20,59.79,60.55,59.79,60.55,57.5,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,5.0,8.0,3.0,1.0,0.0,2.19,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,9,1,2026-07-30,2026-07-30,entry_not_reached
ep-bdbfe736b8d23d5a,2026-07-28,2026-08-03,unfilled,1,0,2026-07-28,consolidation_dip,buy_stop_reclaim,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,META,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,consolidation_dip,consolidation_dip,10.0,ma60,605.96,,buy_stop_reclaim,consolidation_dip,ma60,605.96,605.96,605.96,619.6,565.05,5.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,price_below_ma60_wait_for_reclaim,12.0,15.0,3.0,0.0,0.0,0.94,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,9,1,2026-08-03,2026-08-03,entry_not_reached
ep-dafea30680f348b6,2026-07-28,,open,1,0,2026-07-28,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,MSFT,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,387.7,,buy_limit_zone,healthy_pullback,ma20,387.7,393.21,387.7,393.21,371.17,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,1.63,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,393.16,,,,0,,,4.8581,5.0941,-0.201,,,,0.0,1.0,9,1,2026-07-30,,
ep-9c61f843724b9479,2026-07-28,,open,3,2,2026-08-05,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,ORLY,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma60,89.33,,buy_limit_zone,healthy_pullback,ma60,89.33,90.83,89.33,90.83,84.84,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma60_anchor,6.0,9.0,3.0,1.0,1.0,1.67,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-28,90.83,,,,0,,,0.4508,0.5492,-0.7846,,,,0.0,1.0,9,1,2026-07-30,,
ep-9da31bf54f377a7b,2026-07-28,2026-07-30,unfilled,3,2,2026-07-30,consolidation_dip|healthy_pullback,buy_limit_zone|buy_stop_reclaim,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,PDD,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,83.5,,buy_limit_zone,healthy_pullback,ma20,83.5,84.72,83.5,84.72,79.83,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,0.98,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,9,1,2026-07-30,2026-07-30,entry_not_reached
ep-5c6cb5fea6edaf07,2026-07-28,,open,3,2,2026-08-04,healthy_pullback,buy_limit_zone,1,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,PEP,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,138.44,,buy_limit_zone,healthy_pullback,ma20,138.44,140.25,138.44,140.25,133.01,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,5.0,8.0,3.0,1.0,0.0,2.07,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,open,1,2026-07-30,140.25,,,,0,,,-0.1699,0.3135,-0.4309,,,,0.0,1.0,9,1,2026-07-30,,
ep-c9ef7489deb6ca94,2026-07-28,2026-07-28,completed,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,PLTR,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,128.83,,buy_limit_zone,healthy_pullback,ma20,128.83,132.25,128.83,132.25,118.56,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,8.0,11.0,3.0,0.0,0.0,-3.36,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,completed,1,2026-07-28,125.84,2026-07-28,118.56,initial_stop,0,-1.0,-1.0,,0.1854,-1.092,,,,0.0,1.0,9,1,2026-07-30,2026-07-28,
ep-2ffb53be4563fbef,2026-07-28,2026-07-30,unfilled,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,REGN,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,658.43,,buy_limit_zone,healthy_pullback,ma20,658.43,667.09,658.43,667.09,632.46,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,6.0,9.0,3.0,1.0,0.0,1.16,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,unfilled,0,,,,,,0,,,,,,,,,0.0,1.0,9,1,2026-07-30,2026-07-30,entry_not_reached
ep-2469827645686dd3,2026-07-28,2026-08-05,completed,1,0,2026-07-28,healthy_pullback,buy_limit_zone,0,2026-07-28T09:01:51.019124-04:00,2026-07-27,v1.3.3,premarket,0.0,xnys,TTWO,v1.2.1,v1.3.1-shadow,v1.3.1-shadow,8142e595d788ac06,ndx-99-78834e47b659,healthy_pullback,healthy_pullback,5.0,ma20,243.74,,buy_limit_zone,healthy_pullback,ma20,243.74,247.19,243.74,247.19,233.38,3.0,40.0,intraday,initial_stop_or_d40_close,2026-07-28,pullback_limit_uses_ma20_anchor,5.0,5.0,0.0,0.0,0.0,1.39,available,neutral,18.600000381469727,0.09,-0.72,0.4848,0.0,v1.3.1-shadow,completed,1,2026-07-28,245.22,2026-08-05,233.38,initial_stop,0,-1.0,-1.0,,0.4823,-1.0878,,,,0.0,1.0,9,1,2026-07-30,2026-08-05,
