SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,UniverseExpectedCount,UniverseDisposition,UniverseExclusionReason,DollarVolumeMedian20,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,PreMarketPrice,PreMarketQuoteTimeET,PreGapReferencePrice,PreGapReferenceDate,PreGapReferenceBasis,PreGapDefinitionVersion,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.3,data,ok,,,99,processed,,16099263857.49,SNDK,1551.989990234375,1597.67,1609.4,0.67,1609.4,1807.38,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+371.6%) | 💾 記憶體儲存共振,16.0,16.67,13.0,16.0,13.67,16.67,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-3.6,🎯 甜點價,1609.4,1660.81,1397.76,102.82,6.6,down,0.56,3.7159,1.22,available,1571.0,2026-09-15T09:00:45-04:00,1551.989990234375,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,1609.4,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,48.8,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,1609.4,1609.4,1609.4,1660.81,1455.17,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,279761604.27,KDP,31.57999992370605,31.87,31.31,0.6,31.31,32.87,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+75.6%) | 🛒 消費共振,16.0,16.6,13.0,16.0,13.6,16.6,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.9,🎯 甜點價,31.31,31.65,30.57,0.67,2.1,up,0.4,0.7557,-1.17,available,31.21,2026-09-15T08:54:29-04:00,31.57999992370605,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,31.31,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,49.4,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,31.31,31.65,31.31,31.65,30.3,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,24769658638.35,MU,924.030029296875,960.43,957.94,0.59,957.94,1042.4,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+345.7%) | 💾 記憶體儲存共振,16.0,16.59,13.0,16.0,13.59,16.59,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-3.5,🎯 甜點價,957.94,980.97,854.93,46.06,5.0,down,0.74,3.4572,1.21,available,935.2,2026-09-15T09:00:48-04:00,924.030029296875,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,957.94,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,46.4,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,957.94,957.94,957.94,980.97,888.84,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,861848799.92,DASH,203.5399932861328,219.24,200.96,0.51,200.96,219.24,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+35.6%) | 🌐 網路消費共振,15.0,15.51,12.0,15.0,12.51,15.51,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.3,🎯 甜點價,200.96,204.86,191.84,7.8,3.8,up,0.33,0.3563,-1.56,available,200.37,2026-09-15T08:56:11-04:00,203.5399932861328,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,200.96,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,42.4,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,200.96,204.86,200.96,204.86,189.26,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,559972720.65,ROST,230.0399932861328,231.84,233.07,0.58,233.07,231.85,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+13.3%) | 🛒 消費共振,14.0,14.58,11.0,14.0,11.58,14.58,1.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.3,🎯 甜點價,233.07,235.92,221.49,5.7,2.5,down,0.53,0.1331,,stale_quote,229.46,2026-09-15T07:24:46-04:00,230.0399932861328,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,233.07,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,44.9,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,233.07,233.07,233.07,235.92,224.52,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,392008398.59,ALNY,249.9900054931641,244.96,260.76,0.68,260.76,272.08,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+66.9%),13.0,13.68,13.0,13.0,13.68,13.68,3.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.1,🎯 甜點價,260.76,266.26,233.48,11.0,4.4,down,0.98,0.6686,0.4,available,251.0,2026-09-15T08:15:57-04:00,249.9900054931641,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,260.76,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,51.2,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,260.76,260.76,260.76,266.26,244.25,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,4828133542.32,MRVL,218.82000732421875,227.59,227.17,0.65,227.17,241.88,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+36.5%),12.0,12.65,12.0,12.0,12.65,12.65,2.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.7,🎯 甜點價,227.17,234.77,196.02,15.2,6.9,down,0.55,0.3655,1.32,available,221.7,2026-09-15T09:00:28-04:00,218.82000732421875,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,227.17,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,48.2,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,227.17,227.17,227.17,234.77,204.37,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,420565179.04,CSX,48.90999984741211,50.04,49.6,0.68,49.6,50.04,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+10.1%),11.0,11.68,11.0,11.0,11.68,11.68,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.4,🎯 甜點價,49.6,50.09,47.44,0.98,2.0,down,0.7,0.101,0.88,available,49.34,2026-09-15T08:06:10-04:00,48.90999984741211,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,49.6,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,42.3,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,49.6,49.6,49.6,50.09,48.13,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,11804320799.02,TSLA,358.9700012207031,355.96,360.99,0.66,360.99,375.44,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+25.5%),11.0,11.66,11.0,11.0,11.66,11.66,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.6,🎯 甜點價,360.99,367.95,338.1,13.92,3.9,down,0.15,0.2552,-0.14,available,358.46,2026-09-15T09:00:50-04:00,358.9700012207031,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,360.99,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,51.5,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,360.99,360.99,360.99,367.95,340.12,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,993454825.01,SHOP,133.88999938964844,143.48,131.8,0.79,131.8,143.48,consolidate,🌤️ 守均線拉回｜回測MA60不破 | ✨ 季營收強勢+30%(+33.7%) | 🌐 網路消費共振,10.0,10.79,7.0,10.0,7.79,10.79,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.6,🎯 甜點價,131.8,134.76,125.02,5.92,4.4,up,0.35,0.3369,-1.41,available,132.0,2026-09-15T08:55:39-04:00,133.88999938964844,2026-09-14,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b680f6eb3222688c864ac595171a6be14895466f,8142e595d788ac06,ndx-99-78834e47b659,2026-09-15T09:01:34.122032-04:00,2026-09-14,premarket,0,xnys,healthy_pullback,healthy_pullback,5.0,ma60,131.8,,bull,16.989999771118164,760.5507,760.8800048828125,-0.04,709.0,709.1799926757812,-0.03,0.89,1.04,0.2626,1.0,44.9,0.0,1.0,0.0,0.0,1.0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,131.8,134.76,131.8,134.76,122.93,3.0,40.0,intraday,initial_stop_or_d40_close,2026-09-15,pullback_limit_uses_ma60_anchor
