SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,UniverseExpectedCount,UniverseDisposition,UniverseExclusionReason,DollarVolumeMedian20,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,PreMarketPrice,PreMarketQuoteTimeET,PreGapReferencePrice,PreGapReferenceDate,PreGapReferenceBasis,PreGapDefinitionVersion,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.3,data,ok,,,99,processed,,2817431292.36,ASML,1678.219970703125,1721.29,1719.28,0.66,1719.28,1729.06,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+21.2%) | 🔧 半導體設備共振,14.0,14.66,11.0,14.0,11.66,14.66,1.0,3.0,1.0,1.0,0.0,0.0,0.0,-2.4,🎯 甜點價,1719.28,1758.48,1560.63,78.39,4.7,down,0.52,0.2125,,no_premarket_trade,,,1678.219970703125,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,1719.28,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,47.0,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,1719.28,1719.28,1719.28,1758.48,1601.69,5.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,4226071095.07,AMAT,534.239990234375,540.69,529.72,0.64,529.72,554.08,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+11.4%) | 🔧 半導體設備共振,14.0,14.64,11.0,14.0,11.64,14.64,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.9,🎯 甜點價,529.72,548.98,476.46,38.52,7.2,up,0.12,0.1141,,no_premarket_trade,,,534.239990234375,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,529.72,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,49.2,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,529.72,548.98,529.72,548.98,471.94,5.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,3261501412.3,LITE,826.260009765625,761.01,843.11,0.58,843.11,883.65,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+90.1%),13.0,13.58,13.0,13.0,13.58,13.58,3.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,🎯 甜點價,843.11,881.63,710.69,77.05,9.3,down,0.22,0.9012,,no_premarket_trade,,,826.260009765625,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,843.11,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,54.3,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,843.11,843.11,843.11,881.63,727.54,5.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,86518080.04,FER,66.55000305175781,64.09,66.51,0.62,66.51,66.97,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+26.4%),11.0,11.62,11.0,11.0,11.62,11.62,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1,🎯 甜點價,66.51,67.51,63.56,1.01,1.5,up,0.02,0.2642,,no_premarket_trade,,,66.55000305175781,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,66.51,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,58.2,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,66.51,67.51,66.51,67.51,63.52,5.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,304770269.78,VRSK,188.75,196.83,183.23,0.45,183.23,209.48,consolidate,📐 盤整甜點位｜量縮低接,10.0,10.45,10.0,10.0,10.45,10.45,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,🎯 甜點價,183.23,187.16,176.96,7.86,4.2,up,0.7,0.0436,,no_premarket_trade,,,188.75,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,183.23,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,45.2,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,183.23,187.16,183.23,187.16,171.44,5.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,1177184291.02,MPWR,1345.4599609375,1342.17,1454.37,0.92,1454.37,1568.21,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+26.1%) | 🧠 AI半導體共振,9.0,9.92,6.0,9.0,6.92,9.92,1.0,3.0,0.0,1.0,1.0,1.0,0.0,-7.5,📍 偏離待回 ↓,1409.37,1454.37,1237.45,90.01,6.7,down,1.21,0.2614,,no_premarket_trade,,,1345.4599609375,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,healthy_pullback,healthy_pullback,5.0,ma20,1342.17,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,48.6,0.0,1.0,0.0,0.0,1.0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,1342.17,1387.17,1342.17,1387.17,1207.16,3.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,11149330174.61,INTC,101.05999755859376,98.0,112.46,0.72,112.46,102.83,transition_low,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+25.4%) | 🧠 AI半導體共振,9.0,9.72,6.0,9.0,6.72,9.72,1.0,3.0,0.0,1.0,1.0,1.0,0.0,-10.1,📍 偏離待回 ↓,108.67,112.46,91.96,7.58,7.5,down,1.5,0.2542,,no_premarket_trade,,,101.05999755859376,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,healthy_pullback,healthy_pullback,5.0,ma20,98.0,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,49.5,0.0,0.0,0.0,0.0,1.0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,98.0,101.79,98.0,101.79,86.63,3.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,17087149409.43,AAPL,311.0,323.72,308.01,0.97,308.01,334.75,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 📈 季營收成長+10%(+16.4%),6.0,6.97,6.0,6.0,6.97,6.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,🎯 甜點價,308.01,312.7,296.94,9.37,3.0,up,0.32,0.1636,,no_premarket_trade,,,311.0,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,healthy_pullback,healthy_pullback,5.0,ma60,308.01,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,45.8,0.0,1.0,0.0,0.0,1.0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,308.01,312.7,308.01,312.7,293.95,3.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_uses_ma60_anchor
v1.3.3,data,ok,,,99,processed,,1000692879.06,SHOP,144.24000549316406,123.52,114.78,3.97,114.78,153.88,transition_high,🔎 觀望 | ✨ 季營收強勢+30%(+34.3%),2.0,5.970000000000001,2.0,2.0,5.970000000000001,5.970000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,⚠️ 已偏離,0.0,0.0,132.03,8.14,5.6,up,3.62,0.3432,,no_premarket_trade,,,144.24000549316406,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,none,none,0.0,none,,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,67.8,0.0,0.0,0.0,0.0,1.0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,
v1.3.3,data,ok,,,99,processed,,2397005635.09,WMT,112.33999633789062,112.1,117.29,0.97,117.29,113.29,consolidate,🌤️ 守均線拉回｜回測MA20不破,5.0,5.97,5.0,5.0,5.97,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,📍 偏離待回 ↓,115.97,117.29,109.17,2.64,2.3,down,1.88,0.0733,,no_premarket_trade,,,112.33999633789062,2026-08-05,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,9b7a1c88dd388ac087697c3253d949644d2a924f,8142e595d788ac06,ndx-99-78834e47b659,2026-08-06T09:01:46.054977-04:00,2026-08-05,premarket,0,xnys,healthy_pullback,healthy_pullback,5.0,ma20,112.1,,neutral,15.850000381469728,,,,,,,0.14,-0.26,0.6465,0.0,48.1,0.0,1.0,0.0,0.0,1.0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,112.1,113.42,112.1,113.42,108.14,3.0,40.0,intraday,initial_stop_or_d40_close,2026-08-06,pullback_limit_uses_ma20_anchor
