SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.1,data,ok,,,LITE,762.989990234375,779.22,869.66,0.61,869.66,897.0,transition_low,"🔎 觀望 | 🚀 季營收爆量+50%(+90.1%) | 🚨 盤前極端跳空 -6.6%(多為財報/事件,謹慎)",3,3.61,3,3,3.61,3.61,3,0,0,0,0,0,0,-12.3,📍 偏離待回 ↓,835.52,869.66,681.05,68.29,8.9,down,1.56,0.9012,-6.57,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,45.9,1,0,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,PLTR,122.91999816894533,127.9,132.76,0.44,132.76,136.62,consolidate,🔎 觀望 | 🚀 季營收爆量+50%(+84.7%),3,3.44,3,3,3.44,3.44,3,0,0,0,0,0,0,-7.4,📍 偏離待回 ↓,129.51,132.76,115.12,6.5,5.3,down,1.51,0.8471,1.53,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,42.1,1,1,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,STX,851.6900024414062,869.65,864.7,1.24,864.7,936.49,consolidate,🔥 靈魂吸籌(觀察標記) | ✨ 季營收強勢+30%(+44.1%) | ⚡ 盤前跳空⬇️ -4.6%,2,3.24,2,2,3.24,3.24,2,0,0,0,0,0,0,-1.5,🎯 甜點價,864.7,902.46,738.42,75.52,8.9,down,0.17,0.4407,-4.61,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,legacy_accumulation,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,47.8,0,1,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,ADI,371.8599853515625,385.21,403.54,0.94,403.54,388.0,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+37.2%),2,2.94,2,2,2.94,2.94,2,0,0,0,0,0,0,-7.9,⚠️ 已偏離,0.0,0.0,350.63,14.15,3.8,down,2.24,0.3725,-0.55,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,41.5,0,1,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,MCHP,78.86000061035156,85.25,91.75,0.88,91.75,85.66,transition_low,🔎 觀望 | ✨ 季營收強勢+30%(+35.1%) | ⚡ 盤前跳空⬇️ -2.2%,2,2.88,2,2,2.88,2.88,2,0,0,0,0,0,0,-14.0,⚠️ 已偏離,0.0,0.0,72.44,4.28,5.4,down,3.01,0.3511,-2.19,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,38.9,0,0,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,SNPS,373.4700012207031,421.0,465.32,0.76,465.32,421.0,transition_low,🔎 觀望 | ✨ 季營收強勢+30%(+41.9%) | ⚡ 盤前跳空⬆️ +2.5%,2,2.76,2,2,2.76,2.76,2,0,0,0,0,0,0,-19.7,⚠️ 已偏離,0.0,0.0,350.13,15.56,4.2,down,5.9,0.4187,2.51,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,25.8,0,0,1,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,AMD,521.9500122070312,533.06,489.42,0.75,489.42,561.47,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+37.9%),2,2.75,2,2,2.75,2.75,2,0,0,0,0,0,0,6.6,🎯 甜點價,489.42,508.68,464.18,38.51,7.4,up,0.84,0.3785,-0.91,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,50.0,0,1,0,0,1,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,META,595.1900024414062,620.97,607.2,0.7,607.2,655.88,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+33.1%),2,2.7,2,2,2.7,2.7,2,0,0,0,0,0,0,-2.0,🎯 甜點價,607.2,620.73,554.59,27.07,4.5,down,0.44,0.3308,-0.01,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,43.8,0,1,0,0,0,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,AXON,502.3399963378906,547.46,464.94,0.64,464.94,547.46,transition_high,🔎 觀望 | ✨ 季營收強勢+30%(+33.8%) | ⚡ 盤前跳空⬆️ +3.9%,2,2.64,2,2,2.64,2.64,2,0,0,0,0,0,0,8.0,📍 偏離待回 ↑,480.74,512.34,464.42,31.6,6.3,up,1.18,0.3375,3.9,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,47.1,1,0,0,0,1,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
v1.3.1,data,ok,,,AVGO,381.9200134277344,381.4,402.46,0.58,402.46,398.59,consolidate,🔎 觀望 | ✨ 季營收強勢+30%(+47.9%),2,2.58,2,2,2.58,2.58,2,0,0,0,0,0,0,-5.1,📍 偏離待回 ↓,394.89,402.46,363.75,15.14,4.0,down,1.36,0.4787,-0.67,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,none,none,0,none,,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,47.9,1,1,0,0,1,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-07-27,
