SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,UniverseExpectedCount,UniverseDisposition,UniverseExclusionReason,DollarVolumeMedian20,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,PreMarketPrice,PreMarketQuoteTimeET,PreGapReferencePrice,PreGapReferenceDate,PreGapReferenceBasis,PreGapDefinitionVersion,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.3,data,ok,,,99,processed,,561275667.34,EA,209.6999969482422,208.31,204.5,18.83,204.5,210.2,consolidate,🔥 靈魂吸籌(觀察標記) | 📈 季營收成長+10%(+11.9%),1,19.83,1,1,19.83,19.83,1,0,0,0,0,0,0,2.5,🎯 甜點價,204.5,207.65,200.26,0.67,0.3,up,0.83,0.1187,,no_premarket_trade,,,209.6999969482422,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,legacy_accumulation,none,0,none,,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,75.6,0,1,0,0,1,none,none,not_applicable,v1.3.1-shadow,v1.3.1-shadow,none,none,none,,,,,,0,40,intraday,initial_stop_or_d40_close,2026-08-05,
v1.3.3,data,ok,,,99,processed,,3261501412.3,LITE,849.469970703125,755.05,844.4,1.13,844.4,868.32,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 🚀 季營收爆量+50%(+90.1%) | 💾 記憶體儲存共振 | ⚡ 盤前跳空⬇️ -2.4%,11,12.13,8,11,9.13,12.13,3,3,1,1,0,0,0,0.6,🎯 甜點價,844.4,883.09,733.41,77.37,9.1,up,0.07,0.9012,-2.39,available,829.2,2026-08-05T09:00:55-04:00,849.469970703125,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,844.4,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,56.4,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,844.4,883.09,844.4,883.09,728.34,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma60_anchor
v1.3.3,data,ok,,,99,processed,,949813799.63,SHOP,123.3000030517578,122.27,114.22,2.03,114.22,133.73,consolidate,"🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+34.3%) | 🌐 網路消費共振 | 🚨 盤前極端跳空 +21.2%(多為財報/事件,謹慎)",10,12.03,7,10,9.03,12.03,2,3,1,1,0,0,0,7.9,📍 偏離待回 ↑,117.43,123.84,115.6,6.41,5.2,up,1.42,0.3432,21.25,available,149.5,2026-08-05T09:00:59-04:00,123.3000030517578,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,122.27,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,53.3,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,122.27,125.48,122.27,125.48,112.65,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,26526703368.81,NVDA,211.94000244140625,204.6,208.47,0.83,208.47,213.06,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 🚀 季營收爆量+50%(+85.2%) | 🧠 AI半導體共振,11,11.83,8,11,8.83,11.83,3,3,1,1,0,0,0,1.7,🎯 甜點價,208.47,212.37,200.23,7.81,3.7,up,0.44,0.8523,1.48,available,215.08,2026-08-05T09:00:59-04:00,211.94000244140625,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,208.47,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,56.9,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,208.47,212.37,208.47,212.37,196.76,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma60_anchor
v1.3.3,data,ok,,,99,processed,,14037149231.09,AMD,518.5800170898438,511.81,502.17,1.36,502.17,530.13,consolidate,"🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+37.9%) | 🧠 AI半導體共振 | 🚨 盤前極端跳空 -7.6%(多為財報/事件,謹慎)",10,11.36,7,10,8.36,11.36,2,3,1,1,0,0,0,3.3,🎯 甜點價,502.17,521.87,459.48,39.4,7.6,up,0.42,0.3785,-7.64,available,478.96,2026-08-05T09:00:59-04:00,518.5800170898438,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,511.81,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,52.3,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,511.81,531.51,511.81,531.51,452.71,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,1366962960.22,ADI,380.2900085449219,378.09,399.53,1.17,399.53,382.48,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+37.2%) | 🧠 AI半導體共振,10,11.17,7,10,8.17,11.17,2,3,1,1,0,0,0,-4.8,📍 偏離待回 ↓,392.49,399.53,363.39,14.08,3.7,down,1.37,0.3725,-0.0,available,380.29,2026-08-05T08:52:29-04:00,380.2900085449219,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,378.09,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,49.7,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,378.09,385.13,378.09,385.13,356.96,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,7785838990.37,AVGO,418.1600036621094,388.02,399.13,1.17,399.13,422.07,consolidate,🌤️ 守均線拉回｜回測MA60不破 | ✨ 季營收強勢+30%(+47.9%) | 🧠 AI半導體共振,10,11.17,7,10,8.17,11.17,2,3,1,1,0,0,0,4.8,📍 偏離待回 ↑,407.54,424.37,397.97,16.82,4.0,up,1.13,0.4787,-0.57,available,415.77,2026-08-05T09:01:00-04:00,418.1600036621094,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,399.13,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,61.8,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,399.13,407.54,399.13,407.54,373.89,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma60_anchor
v1.3.3,data,ok,,,99,processed,,4337011982.7,STX,845.3499755859375,842.06,874.87,1.16,874.87,921.78,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+44.1%) | 💾 記憶體儲存共振,10,11.16,7,10,8.16,11.16,2,3,1,1,0,0,0,-3.4,🎯 甜點價,874.87,913.61,729.14,77.48,9.2,down,0.38,0.4407,-0.75,available,838.9999,2026-08-05T09:00:03-04:00,845.3499755859375,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,842.06,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,49.2,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,842.06,880.8,842.06,880.8,725.85,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,3560644374.94,LRCX,317.739990234375,313.6,330.21,1.44,330.21,320.25,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+23.8%) | 🔧 半導體設備共振,9,10.44,6,9,7.439999999999999,10.44,1,3,0,1,1,1,0,-3.8,🎯 甜點價,330.21,342.79,279.99,25.16,7.9,down,0.5,0.2376,-1.17,available,314.01,2026-08-05T09:00:37-04:00,317.739990234375,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,313.6,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,50.0,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,313.6,326.18,313.6,326.18,275.85,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,494482321.34,MNST,94.18000030517578,96.19,92.56,1.19,92.56,99.29,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 📈 季營收成長+10%(+26.9%) | 🛒 消費共振 | ⚡ 盤前跳空⬆️ +2.5%,9,10.19,6,9,7.19,10.19,1,3,0,1,1,1,0,1.8,🎯 甜點價,92.56,93.68,90.82,2.24,2.4,up,0.72,0.2689,2.46,available,96.5,2026-08-05T08:59:17-04:00,94.18000030517578,2026-08-04,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-05T09:01:58.814406-04:00,2026-08-04,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,92.56,,neutral,16.850000381469727,774.9516,771.3300170898438,0.47,724.9608,723.8499755859375,0.15,0.48,0.26,0.6869,0,46.8,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,92.56,93.68,92.56,93.68,89.2,3,40,intraday,initial_stop_or_d40_close,2026-08-05,pullback_limit_uses_ma60_anchor
