SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,UniverseExpectedCount,UniverseDisposition,UniverseExclusionReason,DollarVolumeMedian20,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,PreMarketPrice,PreMarketQuoteTimeET,PreGapReferencePrice,PreGapReferenceDate,PreGapReferenceBasis,PreGapDefinitionVersion,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.3,data,ok,,,99,processed,,18184821282.39,SNDK,1692.5899658203125,1596.87,1622.15,0.6,1622.15,1807.38,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+251.0%) | 💾 記憶體儲存共振,16.0,16.6,13.0,16.0,13.6,16.6,3.0,3.0,1.0,1.0,0.0,0.0,0.0,4.3,🎯 甜點價,1622.15,1676.15,1530.58,108.01,6.4,up,0.65,2.5103,1.93,available,1725.19,2026-09-11T09:00:55-04:00,1692.5899658203125,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,1622.15,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,57.3,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,1622.15,1676.15,1622.15,1676.15,1460.14,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,25346047262.39,MU,977.4099731445312,961.54,960.68,0.57,960.68,1042.4,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+345.7%) | 💾 記憶體儲存共振,16.0,16.57,13.0,16.0,13.57,16.57,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.7,🎯 甜點價,960.68,984.32,906.5,47.28,4.8,up,0.35,3.4572,1.8,available,995.0,2026-09-11T09:00:55-04:00,977.4099731445312,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,960.68,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,53.3,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,960.68,984.32,960.68,984.32,889.77,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,7937132762.09,AMD,503.6000061035156,480.38,502.92,0.5,502.92,526.79,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+50.1%) | 🧠 AI半導體共振,16.0,16.5,13.0,16.0,13.5,16.5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.1,🎯 甜點價,502.92,512.94,473.54,20.04,4.0,up,0.03,0.5011,1.99,available,513.645,2026-09-11T09:00:56-04:00,503.6000061035156,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,502.92,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,55.1,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,502.92,512.94,502.92,512.94,472.86,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,1890023727.33,PANW,338.489990234375,356.52,341.35,0.62,341.35,356.52,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+31.1%) | 🔒 資安共振,15.0,15.62,12.0,15.0,12.62,15.62,2.0,3.0,1.0,1.0,0.0,0.0,0.0,-0.8,🎯 甜點價,341.35,350.42,311.29,18.13,5.4,down,0.16,0.3115,0.52,available,340.2521,2026-09-11T09:00:50-04:00,338.489990234375,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,341.35,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,45.7,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,341.35,341.35,341.35,350.42,314.15,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,1690114674.85,CRWD,208.8600006103516,208.45,197.6,0.62,197.6,218.31,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+25.6%) | 🔒 資安共振,14.0,14.62,11.0,14.0,11.62,14.62,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.7,🎯 甜點價,197.6,203.7,190.56,12.2,5.8,up,0.92,0.2557,0.83,available,210.5967,2026-09-11T09:00:51-04:00,208.8600006103516,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,197.6,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,51.1,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,197.6,203.7,197.6,203.7,179.3,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,1227895213.47,INTU,312.7699890136719,346.52,309.37,0.61,309.37,363.7,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+10.4%) | 💻 軟體雲端共振,14.0,14.61,11.0,14.0,11.61,14.61,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.1,🎯 甜點價,309.37,316.85,290.33,14.96,4.8,up,0.23,0.1037,0.6,available,314.66,2026-09-11T08:59:28-04:00,312.7699890136719,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,309.37,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,38.5,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,309.37,316.85,309.37,316.85,286.93,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,590166255.84,FTNT,158.85000610351562,158.6,157.28,0.56,157.28,161.98,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+25.6%) | 🔒 資安共振,14.0,14.56,11.0,14.0,11.56,14.56,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,🎯 甜點價,157.28,160.59,148.91,6.63,4.2,up,0.24,0.2564,0.4,available,159.49,2026-09-11T09:00:14-04:00,158.85000610351562,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,157.28,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,50.4,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,157.28,160.59,157.28,160.59,147.34,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,8015073191.62,AMZN,251.88999938964844,259.38,251.91,0.55,251.91,261.12,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+16.6%) | 🏛️ 超大型權值共振,14.0,14.55,11.0,14.0,11.55,14.55,1.0,3.0,1.0,1.0,0.0,1.0,0.0,-0.0,🎯 甜點價,251.91,254.68,243.57,5.55,2.2,down,0.0,0.1661,1.19,available,254.89,2026-09-11T09:00:58-04:00,251.88999938964844,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,251.91,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,43.6,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,251.91,251.91,251.91,254.68,243.59,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,2171436277.97,NFLX,76.01000213623047,79.49,75.37,0.5,75.37,83.6,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+13.4%) | 🌐 網路消費共振,14.0,14.5,11.0,14.0,11.5,14.5,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.8,🎯 甜點價,75.37,76.44,72.8,2.14,2.8,up,0.3,0.1337,0.56,available,76.4364,2026-09-11T09:00:54-04:00,76.01000213623047,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,75.37,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,43.6,1.0,1.0,0.0,0.0,1.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,75.37,76.44,75.37,76.44,72.16,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,4777908743.13,MRVL,226.9600067138672,227.05,229.05,0.48,229.05,241.88,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+27.6%) | 🧠 AI半導體共振 | ⚡ 盤前跳空⬆️ +2.8%,14.0,14.48,11.0,14.0,11.48,14.48,1.0,3.0,1.0,1.0,0.0,1.0,0.0,-0.9,🎯 甜點價,229.05,236.49,204.64,14.88,6.6,down,0.14,0.2757,2.77,available,233.2362,2026-09-11T09:01:00-04:00,226.9600067138672,2026-09-10,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,b92f8162ddfb5d65d14b065dc4887498b967623c,8142e595d788ac06,ndx-99-78834e47b659,2026-09-11T09:01:49.464458-04:00,2026-09-10,premarket,0,xnys,consolidation_dip,consolidation_dip,10.0,ma60,229.05,,bull,16.600000381469727,766.45,757.8300170898438,1.14,717.5,708.6900024414062,1.24,0.82,0.95,0.202,1.0,51.9,1.0,1.0,0.0,0.0,0.0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,229.05,229.05,229.05,236.49,206.73,5.0,40.0,intraday,initial_stop_or_d40_close,2026-09-11,price_below_ma60_wait_for_reclaim
